aabad,Populated
aabhal,Sparkling
aabhas,Feeling; Virtual 
aabhas,The Sense or Feelings
aabhat,Shining; Visible; Brilliant 
aabheer,A cowherd; Name of a dynasty 
aabher,A Cow-herd
aabir,Gulal 
aabir,Fragrance, Cloud, Passing by
aacharya,A prominent religious teacher and spiritual guide; Teacher 
aachman,Intake of a sip of water before a Yagya, Puja 
aacish,God Name
aadamya,Apne Dam par 
aadan,Acceptance; Holding
aadar,Reverence, Commencement
aadars,The Ideal
aadarsh,Ideal; The Sun; Principle; Belief; Excellence 
aadarsha,Idol; Mentor; With an ideology 
aadavan,The Sun 
aadeep,Light
aadesh,Command; Message; Order
aadhan,Be First
aadhar,Base 
aadhar,Base; Brilliant Like the Sun
aadhav,Ruler 
aadhav,Ruler; Sun
aadhavan,The Sun 
aadhev,First
aadhi,Earth; First God; Beginning
aadhik,Greater; More then One
aadhil,Honourable Judge
aadhin,Bright; Under
aadhirai,A special star 
aadhiren,Dark 
aadhiroop, 
aadhish,Full of wisdom; Intelligent; Commanded; Counselled 
aadhya,Beginning, First Power
aadhyatm,Dhyan 
aadhyn,Learning; Chapter
aadi,Adornment; Beginning; Perfect; Most significant; Ornament; Unequalled; First 
aadidev,The Lord of the Lords; The first God 
aadijay,The first victory 
aadijith,First victory 
aadiksh, 
aadim,The entire universe; First; Foundation; Original 
aadinath,The first Lord; Lord Vishnu 
aadipta,Bright 
aadir,Origin; Beginning
aadish,Full of wisdom; Intelligent; Commanded; Counselled 
aadish,Lord Shiva, Full of Wisdom
aadishankar,Sri shankaracharya, Founder of Adwaitha philosophy 
aadit,Peak; Lord of the Sun; First 
aadit,First One, Peak, Lord of Sun
aaditey,Son of Aditi; The Sun 
aaditeya,The Sun (Son of Aditi)
aadith,Peak; Lord of the Sun; First 
aadith,The Sun, Begin from First
aadithya,Aditi's son, The Sun, Sun God 
aaditva,A variant of Aditya: the Sun 
aaditya,Aditi's son, The Sun, Sun God 
aadiv,Beautiful; Delicate; Lord Shiva
aadiv,Delicate 
aadrit,Lovely, Respected, Honoured
aadvay,Unique
aadvay,Unique; One; United; With no duplicate 
aadvik,Unique; None of Second
aadvik,Unique 
aady,Beginning
aadya,First, The Earliest, Lord Shiva
aadyae,TBD
aadyan,Religious; Pious
aadyant,Infinite from Adi to Ant; From begining to end 
aadyot,Praise; Brilliant 
aaftab,The Sun; Sunlight
aagad,Unseprateable Part
aagam,Intelligence; Coming; Arrival
aagam,Coming; Arrival; A name of Jain shastra; Insight; Intelligence; Wisdom 
aagman,Arrival
aagney,Son of the Fire God
aagney,Karna, the great warrior; One who is born from fire (Son of the fire)
aagneya,Karna; the great warrior; One who is born from fire (Son of the fire)
aagnik,Related to Fire
aagniv, 
aagyaa,Permission; Order
aagyey,Fire; Unknown
aahaan,Auspicious Dawn, Sword
aahaan,Dawn, Sunrise, Morning glory, First ray of light; One who is of the nature of time itself 
aahan,Iron, Sword, Dawn, Early Morning
aahan,Dawn; Sunrise; Morning glory; First ray of light; One who is of the nature of time itself 
aahana,First Rays of the Sun
aahi,Soul; Spirit 
aahik,TBD
aahil,Emperor, Great King, Prince
aahil,Prince 
aahir,Dazzling; Brilliant
aahish,Blessing of God
aahlaad,Delight; Joy; Happy; Happiness 
aahlad,Delight; Joy; Happy; Happiness 
aahna,Exist
aahnik,Prayer
aahnik,Prayer 
aahva,Beloved
aahva,Beloved 
aahvan,Invitation, Invocation of a Deity
aahvan,An invitation call 
aahwan,Announce; Challenge
aaish,God Blessings
aaish,Delight; Joy; Pleasure; God blessings 
aaiush,Long Life
aajitt,Whom No One can Defeat
aak,A Nature; Sky
aaka,Love; Desire; King
aakaar,Shape
aakaar,Shape; Form 
aakalp,Unlimited 
aakampan,Unshaken; Calm; Determined 
aakar,Shape
aakar,Shape; Form 
aakarsh,Attractive 
aakarshak,Attractive 
aakarshan,Attraction; Charm 
aakas,As Great as Sky
aakash,The Sky; Open mindedness 
aakash,The Sky
aakash laxmi, 
aakashi,The Sky; Universal; Atmosphere 
aakav,Form; Shape
aakesh,Lord of the Sky 
aakesh,Sky; Lord of the Sky
aakhil,Complete; Entire; World; Whole
aakhyaan,Legend story of famous person 
aakil,Intelligent; Smart
aakrit,Shape 
aakrit,Shape
aakshaya,Eternal; Immortal; Indestructible; Goddess Parvati 
aalakshya,Visible 
aalam,The Whole World / Universe
aalamb,Sanctuary 
aalap,Musical prelude; Conversation 
aalap,Musical; Musical Composition
aalay,Home; Refuge 
aalekh,Picture; Painting 
aalekh,Learned; Shiva
aalhad,Joy; Happiness 
aalhad,Joy; Happiness
aalok,Light; Brilliance; Vision 
aalok,Name of Lord Shiva, Light
aalol,Moving, Rolling, Flowing
aalop,That which does not disappear 
aaman,Peace; Friendly Disposition; Affection 
aaman,Peace, Friendly Disposition
aamani,Spring Season; Vasanth Ritu
aamir,Full, Prosperous, Amply Settled
aamish,Honest; Trustworthy; Pleasing 
aamit,Without Limit, Unlimited
aamod,Pleasure; Serenity; Fragrance 
aamod,Pleasant; Pleasure
aamodh,Pleasure; Serenity; Fragrance 
aamodin,Happy; Sweet fragrant; Celebrated 
aamogh,Unerring; Lord Ganesha 
aan,The Sun 
aan,Pride; Rest; Respect
aanadi,Without Beginning, Immortal
aanak,A Kind of Musical Instrument
aanal,Fire 
aanan,Appearance; Face; Countenance
aanand,Joy; Happiness; Delight 
aanand,Joy, Intelligent, Happiness
aanandit,One who spreads joy; Joyous; Full of bliss; Happy; Pleased 
aanandswarup,Full of Joy 
aananth,Infinite; Eternal; Godly; The Earth; Vishnu; Shiva; Another name for Brahma; Endless 
aanantya,Endless; Eternal; Godly 
aanav,Ocean; King; Rich; Generous; Kind; Humane 
aanay,Consort of Goddess Radha, Another name of Lord Ganesh, Without a superior; Another name for Lord Vishnu 
aanay,Investiture with the Sacred Thread
aandaleeb,Nightingale; The Bulbul bird 
aaneel,Slightly Black / Blue; Darkish
aangat,Colorful 
aangi,Decorating the God; Divine 
aanhad,Limitless
aanick,Anything extremely small 
aanick,Atom
aanik,Atom
aanis,Close friend; Good company; Smart one; Companion; Supreme 
aanish,Supreme
aaniya,Lord Hanuman; Fulfilment (Son of Anjani)
aanjan,Eye Liner
aanjaneya,Lord Hanuman, Son of Anjana (Son of Anjani)
aanjay,Unconquerable; Unbeatable 
aanjay,Unconquerable; Winner
aans,Part
aansh,Portion; Day 
aansh,Portion
aanshal,Strong; Mighty; Powerful; One who has strong shoulders; Passionate 
aantya,Successful; Accomplished 
aanush,Beautiful morning; Star; Following a desire 
aanush,The Sun God
aanvin,Sun Rise
aapt,Trustworthy
aapt,Reliable; Trustworthy; Successful; Logical 
aapu,Breath; Faultless; Virtuous; Divine 
aaquid,One who Promises
aar,Light bringer 
aar,Abbreviated from Aarav; Hero; Star
aarabh, 
aaradh,Worship, Prayer
aaradhak,Worshipper 
aaradhy,Worshipped 
aaran,Exalted; On High; Light Bringer
aaranay,Beginning; Starter 
aaranyan,Jungle; Forest 
aarat,Quiet; Gentle; Important; Anxious
aarav,Peaceful, Good Personality
aardhy, 
aaree,Water
aareez,First Ray of Sun
aarhan,Ruler; King; Leader
aarian,Of the Aryan race; Ancient; Warrior; Speedy; Another name for Indra; Kind; Benevolent 
aarib,Fortunate; Handsome; Healthy
aariket,Lord Ganesh; Against desire 
aariketh,Lord Ganesh; Against desire 
aarin,Full of joy; Mountain strength; Ireland; Peace; Sunray 
aarish,First Ray of Sun; Smart
aarish,First ray of Sun; Sky 
aarit,One who seeks the right direction; Honoured; Admired; Beloved; Friend 
aarit,One who Seeks the Right Direction
aariv,King of wisdom 
aariv,King of Wisdom Justice
aariz,Respectable Man, Intelligent
aarjav,Active
aarjav,Honest; Sincere; One whose steadfast in happiness and sorrow 
aarjun,A Warrior, Confidence - Power
aarksh,Of the stars; Celestial 
aarman,Desire; Wish
aarna,Goddess Laxmi
aarnab,Ocean 
aarnav,Ocean; Air; Sun; Wave; Stream; Sea 
aarnav,Ocean; Sea
aarnav tej,Ocean 
aarnavi,Heart as big as ocean; Bird 
aarnes,Red Silk
aarochan,Shining; Bright; Name of the Sun; Brilliant 
aaroh,Up 
aaroha,Always Ascending
aarohit,Chatur 
aaron,Mountain of Strength, Exalted One
aarpan,Giving Away
aarpit,To Donate
aarpit,To donate; To give or offer something; Offered; Dedicated 
aarsh,Crown; Saint
aarshabh,Its An another name of Shri Krishna 
aarshin,Almighty's place; Pious 
aarshvi,Name of Lord Vishnu 
aarth,Meaningful
aarth,Meaningful; Meaning 
aarthav,Meaningful 
aarudh,Ascended; Risen; Elevated 
aaruh,Ascending
aaruksha, 
aarul,Brilliant
aarul,The grace of God; Blessing of God 
aaruna,Sun
aarunya,Merciful; Compassionate 
aarush,First Ray of Rising Sun, Sunshine
aarush,First ray of the Sun; Calm; Red; Brilliant; Another name for the Sun 
aarushf, 
aarv,Peaceful, Melodious, Good Sound
aarvik,Independent; Universal
aarvin,Best
aarya,TBD
aaryak,Kind; Honourable; Noble; Wise 
aaryaman,Noble-minded; Aristocratic; Noble; Belonging to the Sun; The Sun; Friend 
aaryamik,Noble 
aaryan,Respectable, Of Utmost Strength
aaryan,Of the Aryan race; Ancient; Warrior; Speedy; Another name for Indra; Kind; Benevolent 
aaryav,Noble Person; Ideal
aaryav,Noble person 
aaryaveer,Brave Man 
aaryavir,Brave Man 
aaryen,A Respectable Man; A Master
aaryesh,The king of Arya 
aaryik,Respected; Masterful 
aaryn,From a High Race, King, Noble
aas,Expectation, Asylum, Side, Hope
aasav,Liquor; Essence; Distilled; Wine 
aash,Hope; Expectation
aash,Expectation 
aasha,Wish
aashang,Loyal; Affectionate 
aashank,Faith; Fearless; Without hesitation or doubt 
aashar,Fire
aashay,Summary; Gist
aashay,Hawk like 
aashi,Smile; Beautiful
aashik,Lover; Romantic; Sharp; Adorer
aashirvad,Blessings 
aashis,Blessings
aashish,Blessings 
aashit,Most Intelligent
aashka,Take Aashka of Aarti
aashlesh,Embrace 
aashna,Familiar; Friend
aashray,Shelter 
aashraynandan, 
aashresh,Clever 
aashrith,Somebody who gives shelter; One who gives refuge to others; God of wealth; One who protects others; Rite of dependency; Trust on God; One who is dependent on God; Subramaniam Swami 
aashrut,Famous 
aashu,Active; Quick; Fast 
aashuinat,quick-witted 
aashutosh,One who fulfills wishes instantly; Content; Happy; Another name for Lord Shiva 
aashvi,Blessed and Victorious
aashvith,Ocean 
aasik,A Swordsman
aasish,Blessings
aasit,Black Stone
aasit,Black stone; Not white; Limitless; Dark; Calm; Self-possessed 
aaslunan,Gem 
aasmit,Pride
aasra,Sahara; Help
aastha,Faith; Believe
aasthik,Son of Arjun 
aastik,Who has faith in God; Believing in existence and God 
aastik,One who has Faith in God
aasu,Tears; Tear Drop
aasvi,River; Goddess Saraswati
aasvi,Blessed and victorious; Little Mare 
aasvik,Success
aathav, 
aathi,First; Sun
aathik,TBD
aathma,Soul
aathmiya,Spiritual 
aathrav,Auspicious; Lucky 
aatish,Fireworks, Explosive
aatith,Past
aatma,Soul; Light of the Lord; Spirit
aatmaj,Son; Born of the soul 
aatmaj,Son
aatman,Soul; Another name for Krishna 
aatman,Soul
aatmanand,Blissful 
aatmaram,One who is Happy in his self 
aatmay,Long-lived 
aatmik,Spirit; Soul
aatrey,An ancient name; Glorious; Able to cross the three worlds 
aatrey,An Ancient Name
aatvi,Energy 
aaush,Long Life
aavaj,Voice; Sound
aavan,Water; Earth Owner
aavansh,Forthcoming generation 
aaveg,Hurry
aaveg,Impulse 
aavej,Fire
aavesh,Lord of the universe, Lord Shiva 
aavesh,Joining One's Self; Taking …
aavez,Fire
aavi,Smoke 
aavik,Warm Hearted; Kind
aavir,Brave, Brave Forever
aavish,Ocean; Holy incarnation 
aavish,Kingdom; King
aavya,The First Rays of Sun; Gift of God
aavyam,Fearless
aavyan,Not Having Any Imperfection
aawara,Stroller
aayam,Dimensions
aayam,Dimensions 
aayan,Speed, Bright
aayan,Someone who is religiously inclined; Gift of God 
aayansh,The first ray of light; Part of parents; Gift of God 
aayansh sai, 
aayas,Made of Iron / Metal
aayod,giver of life 
aaysh,Delight; Joy; Pleasure; God blessings 
aayu,Span of Life; Age; Long Life
aayu,Span of life 
aayudh,Shastra 
aayus,Age; Man; Long lived; One with long life, Duration of life 
aayush,Age; Man; Long lived; One with long life, Duration of life 
aayush,Long Life; Blessing; Forever
aayushman,Blessed with long life 
aazad,Independent; Free
abaas,Lion
abadh,Immortal; Invulnerable; Ayodhaya
abadhya,Full of power; Invincible 
aban,Old Arabic Name, Dual of Abu
abbhinav,New; Novel; Innovative 
abbie,My Father is Light; Father of Joy
abbir,Gulal 
abbot,Father; Priest
abbud,Worshipper of Allah, Devoted
abby,Father, My Father is Light
abdhi,Sea 
abeer,Colour, Fragrance, Strength
abha,Glorious; Beauty; Shining; Lustre
abhai,Fearless; Without Fear
abhaid,One who cannot be Killed; Immortal
abhaidev,Free of fear 
abhaijeet,Victory over fear 
abhas,Feeling; Sense; Splendour; Light
abhas,Feeling; Virtual 
abhasa,Splendour
abhat,Shining; Visible
abhav,Lord Shiva; Destruction
abhav,Lord Shiva; Having the ability to be different 
abhavya,Improper; Fear-causing 
abhay,Brave, Fearless
abhay,Fearless 
abhaya,Fearless
abhaya prada,Bestowed of safety; Another name of Lord Vishnu 
abhayam,Fearless 
abhayan,One of the Kauravas 
abhayananda,Delighting in fearless 
abhayankar,Powerful and complete 
abhayi,Trustworthy 
abhed,Unbeatable
abheek,Fearless; Beloved 
abheek,Fearless
abheer,A Cow-herd
abheet,Jo kisi se na dare 
abheet,Fearless; Courageous
abhey,Fearless
abhi,Fearless, Better than Best, Brave
abhi,Fearless 
abhibhava,Overpowering; Powerful; Victorious 
abhicandra,With a Moon-like face; One of the seven Manus of the Svetambara Jain sect 
abhichandra,Fearless 
abhideep,Illuminated 
abhidharm,Highest Dharma 
abhidi,Radiant 
abhidi,Radiant
abhidnya,Goddesses 
abhigyaan,Source of knowledge 
abhihas,Inclined to smile 
abhihita,Expression; Word; Name 
abhijan,Pride of a family; Noble 
abhijat,Noble; Wise; Faultless; Transparent 
abhijath,Noble; Wise; Faultless; Transparent 
abhijay,Victorious; Conquest; Complete victory 
abhijaya,Victorious; Conquest; Complete victory 
abhijeet,Lord Krishna; One who is victorious (Abhijeet) 
abhijith,Lord Krishna; One who is victorious (Abhijeet) 
abhijun,Expert; Skilled 
abhijvala,Blazing forth 
abhik,Royal; Beloved; Fearless
abhik,Fearless; Beloved 
abhikam,Affectionate; Loving 
abhikarsh, 
abhilash,Desire; Affection 
abhilesh,Immortal; Unique 
abhim,Another name for Lord Vishnu; Destroyer of fear 
abhimaan,Proud; Self-importance 
abhiman,Proud; Self-importance 
abhimand,Gladdening 
abhimani,Full of pride; Another name of Agni as the eldest son of Brahma 
abhimanum, 
abhimanyu,Self-respect; Passionate; Heroic; Arjuna's son; Proud (Son of Arjuna and Subhadra, nephew to Krishna. He was slain in the battle of Kurukshetra when just sixteen years old.)
abhimanyusuta,Son; Abhimanyu 
abhimath,Beloved 
abhimoda,Joy; Delight 
abhinabhas,Renowned; Famous 
abhinand,Acknowledge 
abhinu,Brave Man
abhir,Mighty One; Single
abhira,Cowherd
abhiru,Not a Coward; Strong; Powerful
abhish,Sky; A Ray of Light
abhisu,Ray of Light
abhit,Fearless
abhith,Everywhere 
abhitosh, 
abhivadan,Greeting 
abhivanth,Royal salute 
abhivira,Surrounded by heroes; A commander 
abhiyansh, 
abhjeet,One who is victorious 
abhra,Cloud
abhra,Cloud 
abhrakasin,With clouds for shelter; An ascetic 
abhram,Steady; Purposeful 
abhram,Steady; Clear
abhranila,Lord Basudev 
abhu,Unborn; Nonexistent
abhu,Unborn; Nonexistent; UnEarthly; Another name for Vishnu 
abhya,Towards the fire 
abhyagni,Towards the fire; A son of Aitasa 
abhyan,The literal meaning of ‘abhyan’ is to start a movement; A campaign or a firm resolution of an idea or belief 
abhyank,Name of God 
abhyansh,Fearless 
abhyas,Practise; Study
abhyay,Practice; Chapter
abhypsit,Desired 
abhyuday,Sunrise; Elevation; Increase; Prosperity 
abhyudaya,Sunrise; Elevation; Increase; Prosperity 
abhyudev,The Sun 
abhyudita,Elevated; Risen; Prosperous 
abhyukt,Lord Krishna 
abhyukta,Lord Krishna 
abi,My Father, All Given to Good
abiheshan, 
abij,Seedless
abijah,The Lord is My Father
abijit,Invincible 
abilash,Faithful 
abilesh, 
abimanyu,Self-respect; Passionate; Heroic; Arjuna's son; Proud 
abinaash,Eternal; Immortal, Who has no death 
abinash,Eternal; Immortal, Who has no death 
abinav,Innovative; New 
abinav,Young, Brand New, Novel
abinay,Lord Shiva
abinay,Lord Shiva; Histrionic representation 
abinesh,Eternal; Immortal, Who has no death 
abinish,Hope 
abiraj,Saviour of Man; Fearless King
abiram,Reflection of Lord Rama
abiram,My father is exalted 
abiseshan, 
abishai,My father is a gift 
abishek,Ritual; Purification; Shower of milk; Water over an idol; Anoint; Bathing to God 
abivanth,Royal salute 
abiyah,Handsome
abizer,Father of Wealth
abjayoni,Born of the lotus, Another name of Lord Brahma 
abjit,Conquering Water
abjit,Victorious; Conquering water 
abnash,That cannot be Destroyed
abod,Father (Heb)
abodh,Understanding; Knowledge
abrar,A Truthful Person; Saint
abrik,Precious Like Gold
abrik,Precious like God 
absar,Eyes, Vision, Sight
abzar,Powerful; Mighty
