aaarti,Worship
aaas,Expectation; Hope
aab,Water; Shine
aabeesha,Goddess of will
aabha,Shine, Glow, Sun Rays, Strength
aabha,Glow; Luster; Shine 
aabhaa,Beauty; Shining; Lustre; Glow
aabhal,Sparkling
aabharana,Jewel 
aabharana,Jewel
aabheri,A Raaga in Indian music 
aabinta, 
aachal,Shelter
aacia,Shelter; Goodness; Place to Live
aadanya,derived from the name of King Cheran 
aadarashini,Idealistic
aadarika,Reverence, Respectable
aadarsh,Ideal
aadarsha,Ideal
aadarshaa,Ideal
aadea,Child of the Beginning
aadeah,Child of the Beginning
aadee,Child of the Beginning
aadesh,Order; Command
aadesha,Order; Command; Message
aadeshini,Ordering, Commanding, Instigating
aadhana,Being First
aadhara,One who Holds
aadhaya,First Power
aadhi,Beginning
aadhika,Goddess
aadhiksha,More Wish / Desire
aadhilakshmi,Summer Sun
aadhini, 
aadhira,Restless; Moon
aadhira,Lightning; Strong; The Moon 
aadhirai,A Special Star
aadhisha,Beautiful Queen
aadhishka,Beautiful Queen; Goddess Durga
aadhiya,Worship of Goddess Amba; Beginning
aadhrika,Mountain; Goddess Lakshmi
aadhrika,Mountain or celestial 
aadhrisha,Truth, Faith, Unique
aadhvi,Sun; Earth
aadhvika,Matchless, Unique
aadhya,Beginning, First Power
aadhya,First power; Goddess Durga; First; Unequalled; Perfect; The Earth; Another ornament 
aadhyaa,Goddess Durga
aadhyasri,First power; The beginning 
aadhyasri,First; Goddess Durga
aadhyatha,First Preference
aadhyatmi,Spiritual; The Supreme Spirit
aadhyavi,Warrior princess 
aadi,Beginning; 1st; First
aadia,First One on Earth, Goddess Durga
aadika,Goddess
aadiksha,Intention of Education
aadima,Aboriginal, At the Roots
aadisha,Beautiful
aadishree,Exalted
aadishri,Goddess Lakshmi; Exalted Dignity
aadishri,First; More important 
aadishya,Full of Wisdom
aadit,Peak; Shade; Bright
aadita,The Sun; From the Beginning
aadita,First; Original; From the beginning 
aaditee,Heaven - Earth
aadithi,Mother of the Gods; Liberty; Perfection; Creativity; Freedom; Safety; Abundance 
aaditi,Beginning; Peak
aaditri,Goddess Laxmi
aaditri,The highest honor; Goddess Lakshmi 
aadity,Universal; Boundless
aaditya,The Sun; God of Light
aadnya,Instruction
aadrika,Goddess Lakshmi, Mountain
aadrika,Mountain; Hill; An Apsara or celestial nymph 
aadrisha,God's Sender; Gift of God
aadriti,Ornament; Name of Goddess Durga
aadriti,Goddess Durga; Ray 
aadrsha,Ideal
aadvika,Unique; Matchless; Goddess Durga
aadvika,World; Earth; Unique 
aadvita,First One; Unique; Non-duality
aadvitha,Goddess Lakshmi; Eternal
aadwidha, 
aadwita,Unique
aady,Child of the Beginning
aadya,One who is Always First / Best
aadya,First power; Goddess Durga; First; Unequalled; Perfect; The Earth; Another ornament 
aadya  ,First power; Goddess Durga; First; Unequalled; Perfect; The Earth; Another ornament 
aadyahi,Always First
aadyanthi,Beginning and the End with in
aadyasha,First Wish
aadyshri,Goddess Durga; Exalted Dignity
aaeisha,Obedient; Life; Beautiful
aaena,Mirror, Reflection
aaesha,Obedient
aagam,Arrival; Holy Jain Scripture
aagama,Arrival; Wisdom
aagasya,Maharshi
aagati,Arrival, Coming, Return, Origin
aaghnya,Born from fire, Goddess Lakshmi 
aaghnya,Born from Fire; Goddess Lakshmi
aagman,Arrival; Welcome
aagmya,Wisdom; Knowledge
aagna,Permission; Command; Advice; Order
aagrima,Stay on Top, Coming First
aagyaa,Order; Permission
aahalya,Wife of Rishi Gautam
aahana,First Rays of the Sun
aahana,Inner light, Immortal, Born during the day, the First rise of the Sun 
aaheli,Pure
aahilya,Women Rescued by Lord Rama
aahira,Brilliant; Dazzling
aahladita,In Happy mood; Delighted 
aahladita,Bubbling with Delight
aahna,Exist 
aahsha,Hope
aahuk,God Gift
aahuti,Divine Offering to God / Lord
aahutti,Divine Offering to God / Lord
aahwaana,Invitation
aaiesa,Obedient, Beautiful
aaina,Mirror; Reflection
aaira,The beginning; The principle; The breathe of life 
aaisa,Obedient; Lively Person
aaisha,Beautiful; Obedient
aaishani,Another Name of Goddess Durga
aaishi,God Blessings
aaishu,Obedient, God Blessings
aaiushi,One with Long Life; Live Long
aaiyshu,Beautiful, Live Long Life
aajanae,A Gift from God, Gracious
aajita,Invincible; Always Winning
aajivika,Liveliness
aakaansha,Wish; Desire; Dream 
aakaksha,Desire
aakancha,Desire; Wish
aakanksha,Desire; Wish 
aakanksha,Ambition; Wish; Desire
aakankshi,Desirous; Wishing
aakansha,Wish; Desire
aakansha,Wish; Desire; Dream 
aakanxa,Ambition, Wish, Desire
aakarsha,Attraction, Above Everybody
aakarsha,Above everybody 
aakarshika,Having attractive power 
aakarshin,Attractive
aakash,Sky, Open Space
aakashi,Sky Colour
aakasya,Belongs to the Sky
aakeen,Faith
aakhi,Eye
aakhya,Fame; Glory
aakiya,Desirable; Glory; Fame
aakrati,Shape
aakrita,Art, Creation
aakriti,Shape; Form; Figure; Appearance 
aakriti,Shape, Form, Design, Diagram
aakruthi,Shape
aakruthi,Shape; Structure 
aakruti,Shape; Structure 
aakruti,Shape
aaksha,A Touchstone; Related to Sky
aakshada,Goddess Durga
aakshata,Sacred Rice of Worship, Holy Rice
aakshaya,TBD
aakshayaa,Indestructible
aakshi,Existence
aakshta,Sacred Rice of Worship, Permanent
aalabini,Singer
aalaya,Pure
aalaya,Home; Refuge 
aaleahya,Sunshine 
aalekha,TBD
aalekhya,TBD
aali,Beautiful
aalia,Exalted; Highest Social Standing
aalisha,Protected by God; Silk of heaven 
aalisha,Truthful; Noble
aaliska,Truthful; Protected by God
aaliya,Beauty, High, Tall, Towering
aaliyah,To Ascend, High, Lofty, Sublime
aaliza,Joyous; Happiness; Pious
aalka,Beauty, Diamond, Lustrous
aalok,Lightning; Name of Lord Shiva
aaloka,Lustrous
aalokshya,Light
aamaal,Hopes; Aspirations; Wishes
aaman,Friendly Disposition; Affection
aamani,Spring Season
aamani,Good wish; Spring season (Vasanth Ritu) 
aamara,One who is Beautiful Forever
aamaya,Night Rain
aamaya,Night rain 
aambar,Sky
aambika,Name of Goddess Durga / Parvati
aamini,Spring Season
aamisha,Beautiful; Without decept; Pure; Truthful; Guileless 
aamita,Boundless; Limitless; Endless
aamiya,Night
aamna,Peace; Soft; All
aamodini,Pleasurable
